from,to,frequency
Gmap,Shared Resources,27763
Survey,Voting,27020
Wiki,MCQ,26177
Survey,Submit File,26110
MCQ,Wiki,26012
ImageGallery,Voting,25680
Forum,Shared TaskList,25064
Mindmap,ImageGallery,24983
Assessment,ImageGallery,24618
Mindmap,Survey,24201
Voting,ImageGallery,23930
Survey,Mindmap,23831
ImageGallery,Submit File,23788
Submit File,Survey,23785
Shared TaskList,Forum,23661
ImageGallery,Mindmap,23549
Shared TaskList,Chat,23139
Submit File,ImageGallery,23061
VideoRecorder,Shared Resources,22636
Gmap,Question and Answer,22544
Scribe,Notebook,22271
Notebook,Scribe,21899
Chat,Shared TaskList,21895
Survey,Assessment,21582
Scribe,Mindmap,21577
Assessment,Survey,21388
Pixlr,MCQ,21348
Shared Resources,VideoRecorder,21124
ImageGallery,Assessment,20646
Chat,Wiki,19719
Wiki,Forum,19637
MCQ,Pixlr,19630
Question and Answer,Data Collection,19534
Data Collection,Question and Answer,19391
Scribe,Scribe,18726
Mindmap,Scribe,18623
Scribe,Submit File,18554
Wiki,Chat,18528
Voting,Scribe,18490
Scribe,Voting,18393
Pixlr,Chat,18273
Question and Answer,Gmap,17907
Scribe,Assessment,17623
Submit File,Scribe,17162
Forum,Wiki,17048
Data Collection,MCQ,16525
Shared TaskList,Assessment,16310
ImageGallery,ImageGallery,15978
Assessment,Scribe,15844
Chat,Pixlr,15530
Shared TaskList,Notebook,15159
VideoRecorder,Question and Answer,15121
Notebook,Wiki,15098
Shared TaskList,Submit File,15032
Submit File,Shared TaskList,14969
Notebook,Shared TaskList,14968
Spreadsheet Tool,Shared Resources,14869
NoticeboardX,Kaltura,14813
Survey,Survey,14758
Voting,Shared TaskList,14735
Question and Answer,VideoRecorder,14663
ImageGallery,Survey,14644
Forum,Pixlr,14453
Kaltura,NoticeboardX,14413
Wiki,Voting,14284
Voting,Wiki,14152
Assessment,Shared TaskList,14088
Shared TaskList,Voting,13935
MCQ,Data Collection,13761
Gmap,MCQ,13737
Submit File,Wiki,13676
Data Collection,Chat,12833
Gmap,Chat,12743
Mindmap,Wiki,12595
MCQ,Gmap,12534
Shared TaskList,Mindmap,12459
Mindmap,Shared TaskList,12446
Data Collection,Forum,12419
Survey,ImageGallery,12230
Chat,Data Collection,12190
Pixlr,Forum,12060
Wiki,Mindmap,11874
Wiki,Notebook,11782
MCQ,VideoRecorder,11750
Notebook,Pixlr,11503
Shared TaskList,Survey,11466
Shared Resources,Spreadsheet Tool,11446
Forum,Gmap,11187
Mindmap,Pixlr,11098
Voting,Pixlr,11092
Shared TaskList,Shared TaskList,10953
Assessment,Pixlr,10819
Pixlr,Notebook,10635
Wiki,Submit File,10632
Pixlr,Mindmap,10525
Wiki,Assessment,10517
Assessment,Wiki,10104
Scribe,Survey,10027
Submit File,Pixlr,9912
Pixlr,Submit File,9871
Survey,Scribe,9865
Pixlr,Assessment,9594
Chat,Gmap,9560
VideoRecorder,MCQ,9339
ImageGallery,Scribe,9298
Gmap,Forum,9244
Question and Answer,Spreadsheet Tool,8869
Gmap,Notebook,8796
ImageGallery,Shared TaskList,8493
Spreadsheet Tool,Question and Answer,8460
Notebook,Gmap,8339
Forum,Data Collection,8303
Survey,Shared TaskList,8202
Forum,VideoRecorder,8113
Chat,VideoRecorder,8069
Assessment,Data Collection,7968
Pixlr,Voting,7944
Scribe,ImageGallery,7816
Submit File,Data Collection,7662
Data Collection,Assessment,7568
MCQ,Spreadsheet Tool,7532
Scribe,Wiki,7497
Mindmap,Data Collection,7489
Data Collection,Notebook,7429
Gmap,Voting,7418
Spreadsheet Tool,MCQ,7410
Gmap,Mindmap,7315
Data Collection,Submit File,7238
Mindmap,Gmap,7230
Voting,Data Collection,6973
Data Collection,Voting,6958
VideoRecorder,Chat,6850
Shared TaskList,ImageGallery,6779
Notebook,Data Collection,6686
VideoRecorder,Forum,6627
Data Collection,Mindmap,6581
Kaltura,Shared Resources,6463
Gmap,Assessment,6387
Voting,Gmap,6310
Gmap,ImageGallery,6194
Shared Resources,Kaltura,6095
Wiki,ImageGallery,6089
Assessment,Gmap,6060
Shared TaskList,Scribe,5998
Wiki,Wiki,5961
NoticeboardX,Bbb,5935
Leaderselection,NoticeboardX,5925
VideoRecorder,Submit File,5875
ImageGallery,Wiki,5842
VideoRecorder,Notebook,5816
Gmap,Submit File,5692
Bbb,NoticeboardX,5625
Scribe,Shared TaskList,5623
Spreadsheet Tool,Chat,5587
Mindmap,VideoRecorder,5458
Spreadsheet Tool,Spreadsheet Tool,5391
Submit File,Gmap,5371
Notebook,VideoRecorder,5365
Wiki,Survey,5298
ImageGallery,Pixlr,5282
Pixlr,Survey,5199
Data Collection,Scribe,5162
NoticeboardX,Leaderselection,5030
Survey,Wiki,5005
