node_name,frequency
NoticeboardX,10050
Shared Resources,4029
Question and Answer,2812
MCQ,2233
Chat,2061
Forum,1524
Notebook,1426
Mindmap,1178
Voting,908
Assessment,875
Submit File,863
ImageGallery,611
Survey,493
Scribe,477
Shared TaskList,310
Wiki,285
Pixlr,225
Gmap,180
Data Collection,168
VideoRecorder,100
Spreadsheet Tool,62
Kaltura,53
Leaderselection,10
Scratchie,8
Shared CommonCartridge,5
Peerreview,3
eAdventure,2
Bbb,2
Dimdim,2
